ID,TUBODNA,FID,IID
10266,N - 814,702,56576
3769,N - 828,703,56577
7259,N - 840,704,56578
10315,N - 853,705,56579
3630,N - 767,706,56580
3637,N - 779,707,56581
10138,N - 791,708,56582
3652,N - 803,709,56583
7246,N - 815,710,56584
3751,N - 829,711,56585
3768,N - 841,712,56586
3774,N - 854,713,56587
10074,N - 768,714,56588
3648,N - 780,715,56589
7237,N - 792,716,56590
7188,N - 804,717,56591
10285,N - 816,718,56592
10398,N - 830,719,56593
7274,N - 842,720,56594
7202,N - 855,721,56595
10156,N - 769,722,56596
3514,N - 781,723,56597
10174,N - 793,724,56598
10269,N - 805,725,56599
3682,N - 817,726,56600
3740,N - 831,727,56601
3739,N - 843,728,56602
7251,N - 856,729,56603
3580,N - 770,730,56604
3377,N - 782,731,56605
10187,N - 794,732,56606
1798,N - 806,733,56607
3723,N - 818,734,56608
10296,N - 832,735,56609
3789,N - 844,736,56610
7306,N - 857,737,56611
10098,N - 771,738,56612
10223,N - 783,739,56613
10264,N - 795,740,56614
10259,N - 807,741,56615
10300,N - 819,742,56616
7171,N - 833,743,56617
7277,N - 845,744,56618
10400,N - 858,745,56619
3590,N - 772,746,56620
10198,N - 784,747,56621
3709,N - 796,748,56622
1816,N - 808,749,56623
7209,N - 822,750,56624
3729,N - 834,751,56625
10369,N - 846,752,56626
7341,N - 859,753,56627
3720,N - 785,754,56629
7236,N - 797,755,56630
10314,N - 809,756,56631
7242,N - 823,757,56632
10322,N - 835,758,56633
3808,N - 847,759,56634
10128,N - 773,760,56635
3737,N - 860,761,56636
7288,N - 873,762,56637
10419,N - 885,763,56638
10415,N - 897,764,56639
3840,N - 909,765,56640
10478,N - 920,766,56641
3910,N - 934,767,56642
7427,N - 945,768,56643
3877,N - 861,769,56644
3663,N - 874,770,56645
7279,N - 886,771,56646
3872,N - 898,772,56647
10444,N - 910,773,56648
7349,N - 921,774,56649
7389,N - 935,775,56650
7432,N - 946,776,56651
7328,N - 862,777,56652
10317,N - 875,778,56653
7323,N - 887,779,56654
7286,N - 899,780,56655
3839,N - 911,781,56656
3852,N - 922,782,56657
7400,N - 936,783,56658
10507,N - 947,784,56659
3708,N - 863,785,56660
7292,N - 876,786,56661
3815,N - 888,787,56662
3811,N - 900,788,56663
10461,N - 912,789,56664
3848,N - 923,790,56665
7374,N - 937,791,56666
10500,N - 948,792,56667
10418,N- 864,793,56668
1940,N - 877,794,56669
7284,N - 889,795,56670
3879,N - 901,796,56671
7176,N - 913,797,56672
10480,N - 925,798,56673
3892,N - 938,799,56674
7375,N - 950,800,56675
10407,N - 865,801,56676
7283,N - 878,802,56677
7322,N - 890,803,56678
3843,N - 902,804,56679
7366,N - 914,805,56680
10466,N - 926,806,56681
7379,N - 939,807,56682
7429,N - 951,808,56683
10252,N - 866,809,56684
1948,N - 879,810,56685
3838,N - 891,811,56686
3683,N - 903,812,56687
10458,N - 915,813,56688
10481,N - 927,814,56689
7385,N - 940,815,56690
7426,N - 952,816,56691
3696,N - 867,817,56692
7282,N - 880,818,56693
10437,N - 892,819,56694
7329,N - 904,820,56695
10303,N - 916,821,56696
7395,N - 928,822,56697
7422,N - 941,823,56698
7388,N - 953,824,56699
7326,N - 869,825,56700
7338,N - 881,826,56701
3833,N - 893,827,56702
7156,N - 905,828,56703
